FILE INFORMATION:

   About: Underway ship-board data from Izett et al.
   Program: Line P 2019-001, February 2019
   Platform: CCGS Tully
   Date range: 2019-02-06 to 2019-02-21
   Study Location: Subarctic NE Pacific / Line P
   Data Regions: offshore (1); onshore/QCS (2)
   Intake Depth: 5 m (nominal)
   Insturments location: Main aft laboratory
   PI name & contact: P. Tortell (ptortell[at]eoas.ubc.ca)
   Data Collected & Archived by: R. Izett (rizett[at]eoas.ubc.ca)
   Processing comment: Refer to Izett et al. publication for data processing details

DATA COMMENTS:

   UTC 2019 Julian Day (year-day since 2019-01-01): 2-min intervals
   Latitude N:  
   Longitude E:  
   Along-track distance: Distance from beginning of cruise
   Sea surface temperature at ship's intake: Obtained from thermosalinograph installed near the ship's intake
   Sea surface temperature in the instrument laboratory: Obtained from thermosalinograph installed in the instrument laboratory
   Sea surface salinity: Obtained from thermosalinograph installed near the ship's intake
   Biological O2 saturation anomaly, deltaO2/Ar: collected by membrane inlet mass spectrometry
   N2-based Biological O2 saturation anomaly, deltaO2/N2: collected by Optode/GTD (PIGI-system)
   N2prime-based Biological O2 saturation anomaly, deltaO2/N2': collected by Optode/GTD (PIGI-system) and corrected using numerical approach
   Dissolved O2 concentration (calibrated): collected by Anderaa optode in PIGI-system; calibrated against Winkler
   Dissolved O2 saturation (calibrated): collected by Anderaa optode in PIGI-system; calibrated against Winkler
   Total dissolved gas pressure (warming-corrected): collected by Pro-Oceanus mini gas tension device in PIGI-system
   Dissolved N2 saturation (calibrated): derived from tdgp and o2sat measurements collected by PIGI-system; calibrated against M/S
   Dissolved O2 concentration (uncalibrated): collected by Anderaa optode in PIGI-system; not calibrated
   Dissolved O2 saturation (uncalibrated): collected by Anderaa optode in PIGI-system; not calibrated
   Total dissolved gas pressure (raw): collected by Pro-Oceanus mini gas tension device in PIGI-system
   Dissolved N2 saturation (uncalibrated): derived from tdgp and o2sat measurements collected by PIGI-system; uncalibrated, but calculated from calibrated O2
   Data regional indices: Index no. corresponding with each data region (see above)
   Data indices of storm-impacted data: Indices corresponding with regions of stormy data

DATA:

UTC 2019 Julian Day (year-day since 2019-01-01) [UTC Days],Latitude N [Decimal degrees N],Longitude E [Decimal degrees E],Along-track distance [km],Sea surface temperature at ship's intake [deg. C],Sea surface temperature in the instrument laboratory [deg. C],Sea surface salinity [PSU],Biological O2 saturation anomaly, deltaO2/Ar [%],N2-based Biological O2 saturation anomaly, deltaO2/N2 [%],N2prime-based Biological O2 saturation anomaly, deltaO2/N2' [%],Dissolved O2 concentration (calibrated) [umol/L],Dissolved O2 saturation (calibrated) [%],Total dissolved gas pressure (warming-corrected) [mbar],Dissolved N2 saturation (calibrated) [%],Dissolved O2 concentration (uncalibrated) [umol/L],Dissolved O2 saturation (uncalibrated) [%],Total dissolved gas pressure (raw) [mbar],Dissolved N2 saturation (uncalibrated) [%],Data regional indices [index no.],Data indices of storm-impacted data [index no.]
36.824,48.603,-125.999,301.382,9.913,10.354,32.510,0.623,-0.506,NaN,285.821,0.994,1013.952,1.000,339.198,96.985,1022.512,1.000,NaN,1.000
36.825,48.603,-125.999,301.396,9.913,10.353,32.510,0.647,-0.745,NaN,285.455,0.993,1014.601,1.001,338.795,96.866,1023.148,1.001,NaN,2.000
36.826,48.603,-125.999,301.396,9.912,10.343,32.510,0.529,-0.913,NaN,285.484,0.993,1016.025,1.002,338.827,96.850,1024.557,1.002,NaN,3.000
36.828,48.603,-125.999,301.396,9.908,10.332,32.510,0.520,-0.931,NaN,285.563,0.993,1016.369,1.003,338.940,96.855,1024.886,1.003,NaN,4.000
36.829,48.603,-125.999,301.396,9.908,10.326,32.510,0.503,-0.670,NaN,285.654,0.994,1014.581,1.000,339.062,96.877,1023.081,1.000,NaN,5.000
36.831,48.603,-125.999,301.396,9.908,10.325,32.510,0.481,-0.497,NaN,285.474,0.993,1012.564,0.998,338.871,96.815,1021.048,0.998,NaN,6.000
36.832,48.603,-125.999,301.396,9.909,10.325,32.510,0.431,-0.713,NaN,285.131,0.992,1013.108,0.999,338.466,96.711,1021.575,0.999,NaN,7.000
36.833,48.603,-125.999,301.396,9.912,10.327,32.510,0.332,-0.930,NaN,285.107,0.992,1014.831,1.001,338.439,96.703,1023.281,1.001,NaN,8.000
36.835,48.603,-125.999,301.396,9.916,10.329,32.510,0.261,-0.859,NaN,285.200,0.992,1014.689,1.001,338.554,96.735,1023.122,1.001,NaN,9.000
36.836,48.603,-125.999,301.396,9.919,10.331,32.510,0.192,-0.676,NaN,285.272,0.993,1013.535,0.999,338.652,96.759,1021.951,0.999,NaN,10.000
36.838,48.603,-125.999,301.396,9.919,10.331,32.510,0.171,-0.749,NaN,285.134,0.992,1013.642,1.000,338.496,96.721,1022.041,1.000,NaN,11.000
36.839,48.603,-125.999,301.396,9.919,10.329,32.510,0.120,-0.780,NaN,285.157,0.992,1013.977,1.000,338.526,96.708,1022.360,1.000,NaN,12.000
36.840,48.603,-125.999,301.396,9.921,10.331,32.510,0.083,-1.047,NaN,285.054,0.992,1015.807,1.002,338.406,96.682,1024.175,1.002,NaN,13.000
36.842,48.603,-125.999,301.426,9.924,10.333,32.510,0.061,-0.992,NaN,285.236,0.993,1016.080,1.002,338.623,96.755,1024.434,1.002,NaN,14.000
36.843,48.603,-125.999,301.426,9.927,10.336,32.510,-0.094,-0.694,NaN,285.360,0.993,1014.187,1.000,338.777,96.794,1022.527,1.000,NaN,15.000
36.844,48.603,-125.999,301.477,9.928,10.338,32.510,-0.168,-0.715,-0.181,285.155,0.992,1013.659,0.999,338.519,96.735,1021.986,0.999,NaN,955.000
36.846,48.603,-125.999,301.544,9.930,10.340,32.510,-0.217,-0.635,-0.099,285.017,0.992,1012.581,0.998,338.332,96.687,1020.897,0.998,NaN,956.000
