FILE INFORMATION:

   About: Underway ship-board data from Izett et al.
   Program: Line P 2018-040, September 2018
   Platform: CCGS Tully
   Date range: 2018-09-23 to 2018-09-26
   Study Location: Subarctic NE Pacific / Line P
   Data Regions: offshore (1)
   Intake Depth: 5 m (nominal)
   Insturments location: Main aft laboratory
   PI name & contact: P. Tortell (ptortell[at]eoas.ubc.ca)
   Data Collected & Archived by: R. Izett (rizett[at]eoas.ubc.ca)
   Processing comment: Refer to Izett et al. publication for data processing details

DATA COMMENTS:

   UTC 2018 Julian Day (year-day since 2018-01-01): 2-min intervals
   Latitude N:  
   Longitude E:  
   Along-track distance: Distance from beginning of cruise
   Sea surface temperature at ship's intake: Obtained from thermosalinograph installed near the ship's intake
   Sea surface temperature in the instrument laboratory: Obtained from thermosalinograph installed in the instrument laboratory
   Sea surface salinity: Obtained from thermosalinograph installed near the ship's intake
   Biological O2 saturation anomaly, deltaO2/Ar: collected by membrane inlet mass spectrometry
   N2-based Biological O2 saturation anomaly, deltaO2/N2: collected by Optode/GTD (PIGI-system)
   N2prime-based Biological O2 saturation anomaly, deltaO2/N2': collected by Optode/GTD (PIGI-system) and corrected using numerical approach
   Dissolved O2 concentration (calibrated): collected by Anderaa optode in PIGI-system; calibrated against Winkler
   Dissolved O2 saturation (calibrated): collected by Anderaa optode in PIGI-system; calibrated against Winkler
   Total dissolved gas pressure (warming-corrected): collected by Pro-Oceanus mini gas tension device in PIGI-system
   Dissolved N2 saturation (calibrated): derived from tdgp and o2sat measurements collected by PIGI-system; calibrated against M/S
   Dissolved O2 concentration (uncalibrated): collected by Anderaa optode in PIGI-system; not calibrated
   Dissolved O2 saturation (uncalibrated): collected by Anderaa optode in PIGI-system; not calibrated
   Total dissolved gas pressure (raw): collected by Pro-Oceanus mini gas tension device in PIGI-system
   Dissolved N2 saturation (uncalibrated): derived from tdgp and o2sat measurements collected by PIGI-system; uncalibrated, but calculated from calibrated O2
   Data regional indices: Index no. corresponding with each data region (see above)

DATA:

UTC 2018 Julian Day (year-day since 2018-01-01) [UTC Days],Latitude N [Decimal degrees N],Longitude E [Decimal degrees E],Along-track distance [km],Sea surface temperature at ship's intake [deg. C],Sea surface temperature in the instrument laboratory [deg. C],Sea surface salinity [PSU],Biological O2 saturation anomaly, deltaO2/Ar [%],N2-based Biological O2 saturation anomaly, deltaO2/N2 [%],N2prime-based Biological O2 saturation anomaly, deltaO2/N2' [%],Dissolved O2 concentration (calibrated) [umol/L],Dissolved O2 saturation (calibrated) [%],Total dissolved gas pressure (warming-corrected) [mbar],Dissolved N2 saturation (calibrated) [%],Dissolved O2 concentration (uncalibrated) [umol/L],Dissolved O2 saturation (uncalibrated) [%],Total dissolved gas pressure (raw) [mbar],Dissolved N2 saturation (uncalibrated) [%],Data regional indices [index no.]
265.276,50.102,-143.234,2240.212,14.087,14.348,32.226,1.230,1.327,1.696,269.915,1.017,1028.604,1.004,319.501,99.956,1033.419,1.004,8120.000
265.278,50.101,-143.226,2240.815,14.089,14.348,32.224,1.300,1.369,1.739,269.968,1.017,1028.513,1.004,319.611,99.980,1033.335,1.004,8121.000
265.279,50.100,-143.218,2241.428,14.088,14.345,32.222,1.360,1.403,1.773,270.067,1.018,1028.576,1.004,319.744,100.012,1033.405,1.004,8122.000
265.281,50.100,-143.210,2242.023,14.084,14.342,32.222,1.402,1.443,1.813,270.185,1.018,1028.631,1.004,319.907,100.051,1033.468,1.004,8123.000
265.282,50.099,-143.202,2242.632,14.082,14.339,32.221,1.427,1.486,1.856,270.279,1.018,1028.600,1.004,320.052,100.083,1033.445,1.004,8124.000
265.283,50.098,-143.194,2243.228,14.079,14.337,32.220,1.489,1.517,1.888,270.370,1.019,1028.616,1.004,320.172,100.112,1033.469,1.004,8125.000
265.285,50.097,-143.186,2243.848,14.074,14.333,32.220,1.507,1.542,1.912,270.461,1.019,1028.670,1.004,320.255,100.139,1033.532,1.004,8126.000
265.286,50.097,-143.178,2244.449,14.073,14.332,32.220,1.513,1.567,1.937,270.526,1.019,1028.695,1.004,320.321,100.160,1033.566,1.004,8127.000
265.287,50.096,-143.169,2245.076,14.071,14.329,32.219,1.504,1.564,1.935,270.562,1.019,1028.799,1.004,320.341,100.169,1033.680,1.004,8128.000
265.289,50.095,-143.161,2245.677,14.067,14.326,32.218,1.495,1.556,1.926,270.588,1.019,1028.864,1.004,320.360,100.171,1033.754,1.004,8129.000
265.290,50.095,-143.153,2246.297,14.061,14.321,32.216,1.485,1.552,1.923,270.617,1.019,1028.887,1.004,320.433,100.172,1033.787,1.004,8130.000
265.292,50.094,-143.144,2246.925,14.056,14.317,32.215,1.466,1.540,1.911,270.652,1.019,1028.987,1.004,320.467,100.175,1033.897,1.004,8131.000
265.293,50.093,-143.136,2247.528,14.053,14.315,32.215,1.464,1.545,1.916,270.675,1.019,1028.982,1.004,320.478,100.178,1033.901,1.004,8132.000
265.294,50.093,-143.128,2248.145,14.053,14.315,32.215,1.463,1.515,1.885,270.662,1.019,1029.174,1.004,320.443,100.170,1034.101,1.004,8133.000
265.296,50.092,-143.120,2248.767,14.054,14.316,32.216,1.454,1.506,1.877,270.621,1.019,1029.118,1.004,320.399,100.159,1034.054,1.004,8134.000
265.297,50.092,-143.111,2249.396,14.055,14.317,32.216,1.409,1.491,1.861,270.599,1.019,1029.174,1.004,320.376,100.153,1034.118,1.004,8135.000
265.299,50.091,-143.103,2250.021,14.054,14.317,32.216,1.388,1.481,1.852,270.586,1.019,1029.189,1.004,320.357,100.148,1034.140,1.004,8136.000
265.300,50.090,-143.095,2250.630,14.054,14.317,32.216,1.372,1.462,1.832,270.570,1.019,1029.277,1.004,320.338,100.140,1034.235,1.004,8137.000
265.301,50.089,-143.086,2251.255,14.054,14.317,32.215,NaN,1.455,1.825,270.558,1.019,1029.277,1.004,320.314,100.139,1034.242,1.004,8138.000
265.303,50.089,-143.078,2251.889,14.053,14.317,32.215,NaN,1.465,1.835,270.555,1.019,1029.163,1.004,320.315,100.138,1034.135,1.004,8139.000
265.304,50.088,-143.070,2252.498,14.052,14.316,32.216,1.421,1.482,1.853,270.557,1.019,1029.011,1.004,320.344,100.136,1033.989,1.004,8140.000
265.306,50.087,-143.062,2253.095,14.050,14.315,32.216,1.434,1.494,1.865,270.547,1.019,1028.848,1.004,320.333,100.130,1033.832,1.004,8141.000
265.307,50.087,-143.054,2253.707,14.049,14.314,32.217,1.447,1.487,1.858,270.533,1.019,1028.835,1.004,320.299,100.122,1033.826,1.004,8142.000
265.308,50.086,-143.045,2254.327,14.049,14.314,32.218,1.442,1.504,1.875,270.507,1.019,1028.613,1.004,320.258,100.113,1033.610,1.004,8143.000
265.310,50.085,-143.037,2254.947,14.050,14.316,32.218,1.442,1.519,1.890,270.488,1.019,1028.454,1.003,320.261,100.110,1033.457,1.003,8144.000
265.311,50.084,-143.029,2255.580,14.050,14.316,32.218,1.408,1.568,1.939,270.510,1.019,1028.146,1.003,320.151,100.111,1033.155,1.003,8145.000
265.313,50.084,-143.020,2256.197,14.048,14.318,32.219,1.387,1.563,1.935,270.473,1.019,1028.012,1.003,319.952,100.088,1033.027,1.003,8146.000
265.314,50.083,-143.012,2256.844,14.047,14.322,32.219,1.361,1.534,1.906,270.427,1.018,1028.032,1.003,320.117,100.087,1033.052,1.003,8147.000
265.315,50.082,-143.004,2257.443,14.047,14.326,32.221,1.337,1.499,1.871,270.341,1.018,1028.005,1.003,320.042,100.069,1033.029,1.003,8148.000
265.317,50.081,-142.996,2258.058,14.055,14.333,32.226,1.291,1.378,1.757,270.022,1.017,1027.959,1.003,319.635,99.962,1032.985,1.003,8149.000
265.318,50.081,-142.988,2258.672,14.071,14.343,32.231,1.212,1.282,1.661,269.720,1.016,1027.946,1.003,319.260,99.870,1032.974,1.003,8150.000
265.319,50.080,-142.980,2259.273,14.084,14.352,32.234,1.126,1.262,1.640,269.558,1.016,1027.769,1.003,319.058,99.830,1032.796,1.003,8151.000
265.321,50.080,-142.971,2259.885,14.091,14.356,32.237,1.071,1.256,1.634,269.485,1.016,1027.716,1.003,319.007,99.814,1032.743,1.003,8152.000
265.322,50.079,-142.963,2260.493,14.095,14.359,32.240,1.028,1.265,1.643,269.472,1.016,1027.686,1.003,319.021,99.818,1032.713,1.003,8153.000
265.324,50.078,-142.955,2261.101,14.096,14.360,32.241,1.020,1.281,1.659,269.495,1.016,1027.677,1.003,319.076,99.831,1032.702,1.003,8154.000
265.325,50.078,-142.947,2261.702,14.094,14.359,32.242,1.039,1.302,1.680,269.541,1.016,1027.656,1.003,319.154,99.849,1032.681,1.003,8155.000
265.326,50.077,-142.938,2262.352,14.091,14.356,32.243,1.058,1.325,1.703,269.598,1.016,1027.624,1.003,319.238,99.865,1032.648,1.003,8156.000
265.328,50.076,-142.930,2262.982,14.088,14.353,32.243,1.072,1.368,1.747,269.658,1.017,1027.456,1.003,319.293,99.884,1032.479,1.003,8157.000
265.329,50.075,-142.921,2263.647,14.085,14.351,32.243,1.080,1.403,1.782,269.698,1.017,1027.274,1.003,319.321,99.895,1032.296,1.003,8158.000
265.331,50.075,-142.912,2264.307,14.083,14.350,32.244,1.064,1.420,1.799,269.723,1.017,1027.196,1.002,319.346,99.900,1032.218,1.002,8159.000
265.332,50.074,-142.903,2264.972,14.083,14.350,32.244,1.042,1.427,1.807,269.723,1.017,1027.127,1.002,319.371,99.901,1032.148,1.002,8160.000
265.333,50.073,-142.894,2265.620,14.082,14.349,32.244,1.065,1.427,1.807,269.736,1.017,1027.157,1.002,319.367,99.904,1032.178,1.002,8161.000
265.335,50.072,-142.886,2266.285,14.081,14.349,32.243,1.102,1.423,1.803,269.750,1.017,1027.237,1.002,319.367,99.909,1032.256,1.002,8162.000
265.336,50.071,-142.877,2266.940,14.082,14.350,32.243,1.127,1.455,1.835,269.769,1.017,1027.068,1.002,319.378,99.917,1032.087,1.002,8163.000
265.338,50.071,-142.868,2267.585,14.083,14.352,32.243,1.152,1.468,1.848,269.786,1.017,1027.057,1.002,319.404,99.928,1032.074,1.002,8164.000
265.339,50.070,-142.859,2268.239,14.087,14.355,32.243,1.175,1.496,1.877,269.803,1.017,1026.970,1.002,319.424,99.941,1031.984,1.002,8165.000
265.340,50.069,-142.850,2268.904,14.094,14.361,32.243,1.203,1.482,1.862,269.805,1.017,1027.229,1.002,319.448,99.953,1032.241,1.002,8166.000
265.342,50.069,-142.842,2269.563,14.100,14.367,32.244,1.219,1.485,1.865,269.788,1.017,1027.268,1.002,319.416,99.958,1032.278,1.002,8167.000
265.343,50.068,-142.833,2270.221,14.108,14.375,32.246,1.221,1.481,1.865,269.755,1.017,1027.353,1.003,319.335,99.959,1032.361,1.003,8168.000
265.344,50.067,-142.824,2270.893,14.123,14.387,32.247,1.211,1.499,1.882,269.695,1.017,1027.313,1.002,319.254,99.960,1032.318,1.002,8169.000
265.346,50.066,-142.815,2271.565,14.131,14.394,32.247,1.195,1.503,1.887,269.646,1.017,1027.262,1.002,319.225,99.962,1032.265,1.002,8170.000
265.347,50.066,-142.806,2272.216,14.134,14.397,32.247,1.189,1.498,1.881,269.645,1.017,1027.348,1.002,319.249,99.969,1032.350,1.002,8171.000
265.349,50.065,-142.797,2272.880,14.134,14.399,32.247,1.195,1.498,1.882,269.657,1.018,1027.397,1.003,319.273,99.979,1032.398,1.003,8172.000
265.350,50.064,-142.788,2273.550,14.133,14.398,32.247,1.219,1.521,1.905,269.689,1.018,1027.322,1.002,319.332,99.992,1032.322,1.002,8173.000
265.351,50.063,-142.779,2274.224,14.132,14.397,32.247,1.228,1.520,1.904,269.706,1.018,1027.363,1.002,319.353,99.996,1032.362,1.002,8174.000
265.353,50.063,-142.770,2274.893,14.131,14.396,32.247,1.218,1.490,1.873,269.703,1.018,1027.571,1.003,319.161,99.980,1032.569,1.003,8175.000
