FILE INFORMATION:

   About: Underway ship-board data from Izett et al.
   Program: ArcticNet 1902, July-Aug 2019
   Platform: CCGS Amundsen
   Date range: 2019-07-07 to 2019-08-15
   Study Location: Eastern Canadian Arctic
   Data Regions: BB (1), Shelf/CAA (2)
   Intake Depth: 7 m (nominal)
   Insturments location: Aft Paleolaboratory
   PI name & contact: P. Tortell (ptortell[at]eoas.ubc.ca)
   Data Collected & Archived by: R. Izett (rizett[at]eoas.ubc.ca)
   Processing comment: Refer to Izett et al. publication for data processing details

DATA COMMENTS:

   UTC 2019 Julian Day (year-day since 2019-01-01): 2-min intervals
   Latitude N:  
   Longitude E:  
   Along-track distance: Distance from beginning of cruise
   Sea surface temperature at ship's intake: Obtained from thermosalinograph installed near the ship's intake
   Sea surface temperature in the instrument laboratory: Obtained from thermosalinograph installed in the instrument laboratory
   Sea surface salinity: Obtained from thermosalinograph installed near the ship's intake
   Biological O2 saturation anomaly, deltaO2/Ar: collected by membrane inlet mass spectrometry
   N2-based Biological O2 saturation anomaly, deltaO2/N2: collected by Optode/GTD (PIGI-system)
   N2prime-based Biological O2 saturation anomaly, deltaO2/N2': collected by Optode/GTD (PIGI-system) and corrected using numerical approach
   Dissolved O2 concentration (calibrated): collected by Anderaa optode in PIGI-system; calibrated against Winkler
   Dissolved O2 saturation (calibrated): collected by Anderaa optode in PIGI-system; calibrated against Winkler
   Total dissolved gas pressure (warming-corrected): collected by Pro-Oceanus mini gas tension device in PIGI-system
   Dissolved N2 saturation (calibrated): derived from tdgp and o2sat measurements collected by PIGI-system; calibrated against M/S
   Dissolved O2 concentration (uncalibrated): collected by Anderaa optode in PIGI-system; not calibrated
   Dissolved O2 saturation (uncalibrated): collected by Anderaa optode in PIGI-system; not calibrated
   Total dissolved gas pressure (raw): collected by Pro-Oceanus mini gas tension device in PIGI-system
   Dissolved N2 saturation (uncalibrated): derived from tdgp and o2sat measurements collected by PIGI-system; uncalibrated, but calculated from calibrated O2
   Data regional indices: Index no. corresponding with each data region (see above)

DATA:

UTC 2019 Julian Day (year-day since 2019-01-01) [UTC Days],Latitude N [Decimal degrees N],Longitude E [Decimal degrees E],Along-track distance [km],Sea surface temperature at ship's intake [deg. C],Sea surface temperature in the instrument laboratory [deg. C],Sea surface salinity [PSU],Biological O2 saturation anomaly, deltaO2/Ar [%],N2-based Biological O2 saturation anomaly, deltaO2/N2 [%],N2prime-based Biological O2 saturation anomaly, deltaO2/N2' [%],Dissolved O2 concentration (calibrated) [umol/L],Dissolved O2 saturation (calibrated) [%],Total dissolved gas pressure (warming-corrected) [mbar],Dissolved N2 saturation (calibrated) [%],Dissolved O2 concentration (uncalibrated) [umol/L],Dissolved O2 saturation (uncalibrated) [%],Total dissolved gas pressure (raw) [mbar],Dissolved N2 saturation (uncalibrated) [%],Data regional indices [index no.]
187.444,63.292,-62.070,471.287,2.837,NaN,31.135,2.507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.000
187.446,63.298,-62.061,472.104,2.875,4.443,31.137,NaN,2.787,NaN,368.536,1.089,1073.642,1.060,429.722,106.186,1089.672,1.060,2.000
187.447,63.304,-62.052,472.927,2.915,4.447,31.144,NaN,2.950,NaN,368.449,1.090,1073.128,1.059,429.632,106.173,1089.230,1.059,2.000
187.449,63.310,-62.043,473.753,2.948,4.453,31.147,2.483,3.025,NaN,368.328,1.090,1073.065,1.058,429.496,106.157,1089.232,1.058,2.000
187.450,63.317,-62.034,474.572,2.975,4.457,31.149,2.483,3.170,NaN,368.210,1.091,1072.211,1.057,429.345,106.132,1088.439,1.057,2.000
187.451,63.323,-62.025,475.391,2.982,4.448,31.138,2.461,3.225,3.808,368.199,1.091,1071.822,1.057,429.315,106.099,1088.108,1.057,2.000
187.453,63.329,-62.016,476.216,2.979,4.434,31.126,2.448,3.334,3.879,368.215,1.091,1070.775,1.056,429.315,106.058,1087.118,1.056,2.000
187.454,63.335,-62.008,477.038,2.975,4.422,31.110,2.450,3.345,3.973,368.335,1.091,1070.815,1.056,429.407,106.049,1087.217,1.056,2.000
187.456,63.342,-62.000,477.854,2.968,4.408,31.090,2.449,3.468,4.024,368.422,1.091,1069.669,1.054,429.458,106.023,1086.130,1.054,2.000
187.457,63.348,-61.992,478.682,2.967,4.402,31.073,2.444,3.488,4.064,368.279,1.090,1068.921,1.053,429.238,105.953,1085.445,1.053,2.000
187.458,63.355,-61.983,479.514,2.971,4.403,31.070,2.467,3.395,4.045,367.891,1.089,1068.652,1.053,428.768,105.840,1085.240,1.053,2.000
187.460,63.361,-61.975,480.338,2.995,4.425,31.100,2.514,3.203,3.864,367.202,1.088,1069.094,1.054,428.031,105.718,1085.562,1.054,2.000
187.461,63.368,-61.967,481.157,3.074,4.509,31.194,NaN,2.938,3.705,365.830,1.087,1070.073,1.056,426.637,105.604,1086.422,1.056,2.000
187.463,63.374,-61.960,481.975,3.176,4.620,31.302,NaN,2.823,3.603,364.521,1.086,1070.699,1.057,425.340,105.586,1086.930,1.057,2.000
187.464,63.381,-61.952,482.790,3.250,4.697,31.378,NaN,2.837,3.587,363.825,1.087,1071.072,1.057,424.693,105.636,1087.185,1.057,2.000
187.465,63.387,-61.944,483.594,3.288,4.731,31.411,NaN,2.970,3.610,363.678,1.088,1070.764,1.056,424.547,105.698,1086.759,1.056,2.000
187.467,63.393,-61.937,484.407,3.277,4.711,31.400,2.924,3.075,3.728,364.194,1.089,1071.068,1.056,425.183,105.797,1086.952,1.056,2.000
187.468,63.400,-61.929,485.228,3.242,4.668,31.373,2.940,3.212,3.836,365.000,1.090,1071.176,1.056,426.098,105.906,1086.957,1.056,2.000
